listing_id,date_clean,days_since_launch,weeks_since_launch,status,final_model,final_storage,battery_clean,prompt_grade,grade,price,title,url,description
221320469,2025-10-31,749,108,판매완료,Pro Max,256.0,89.0,B,Unknown,955000,아이폰15프로맥스 화이트 256GB/89%,https://web.joongna.com/product/221320469,
221320415,2025-10-31,749,108,판매완료,Pro Max,256.0,89.0,B,Unknown,955000,아이폰15프로맥스 화이트 256GB/89%,https://web.joongna.com/product/221320415,
221308900,2025-10-31,749,108,판매완료,Pro,128.0,92.0,B,B/C (Used),750000,아이폰 15 프로 내추럴 티타늄 128 92% A급,https://web.joongna.com/product/221308900,
220084425,2025-10-29,747,107,판매완료,Pro,128.0,100.0,A,Unknown,785000,아이폰15프로 네추럴 128GB/100% 106850,https://web.joongna.com/product/220084425,
221227813,2025-10-29,747,107,판매완료,Pro,256.0,88.0,B,Unknown,800000,아이폰 15 프로 256기가 블루티타늄(배터리88%),https://web.joongna.com/product/221227813,
221198519,2025-10-28,746,107,판매완료,Pro,256.0,89.0,B,Unknown,780000,아이폰15프로 256기가 블랙 배터리89,https://web.joongna.com/product/221198519,
221162034,2025-10-27,745,107,판매완료,Normal,256.0,100.0,A,Unknown,700000,아이폰15 그린 256GB 배터리 100% + 애케플,https://web.joongna.com/product/221162034,
221162701,2025-10-27,745,107,판매완료,Pro,512.0,85.0,B,Unknown,850000,아이폰 15 Pro 내추럴 티타늄 512 배터리 85%,https://web.joongna.com/product/221162701,
221161429,2025-10-27,745,107,판매완료,Pro Max,256.0,83.0,B,Unknown,830000,아이폰15 프로맥스 내추럴티타늄 256 배터리83%,https://web.joongna.com/product/221161429,
220572771,2025-10-25,743,107,판매완료,Pro,128.0,91.0,B,Unknown,750000,아이폰 15 프로 128GB(블루)(배터리 효율91%),https://web.joongna.com/product/220572771,
221046120,2025-10-25,743,107,판매완료,Pro Max,,100.0,A,Unknown,940000,아이폰15프로맥스 배터리 100% 팝니다,https://web.joongna.com/product/221046120,
220695809,2025-10-24,742,107,판매완료,Normal,512.0,87.0,B,Unknown,590000,아이폰 15(일반) / 512GB / 옐로우 / 미국판,https://web.joongna.com/product/220695809,"직구로 구매한 아이폰입니다

미국판 무음카메라 너무 좋아요.
(유심은 안됩니다 이심만되어요)

외관 상태는 사진확인해주세요. 양호합니다.

배터리 성능 87%

카메라렌즈 필름, 전면필름, 케이스 항상 사용해서
상태 괜찮습니다.

박스포함된 사진구성으로 판매합니다.
초기화해서 드려요.

세종시 직거래 선호, 그외 택배거래 가능(환불절대불가)"
220196064,2025-10-24,742,107,판매완료,Pro,128.0,100.0,A,Unknown,610000,아이폰15 128기가 밧데리100프로 무기스 실사용3개월 ^^,https://web.joongna.com/product/220196064,
220084384,2025-10-24,742,107,판매완료,Pro,128.0,100.0,A,Unknown,785000,아이폰15프로 네추럴 128GB/100% 106850,https://web.joongna.com/product/220084384,
221068217,2025-10-24,742,107,판매완료,Normal,128.0,100.0,A,Unknown,600000,아이폰 15 블루 128GB 배터리성능 100%,https://web.joongna.com/product/221068217,
