listing_id,date_clean,days_since_launch,weeks_since_launch,status,final_model,final_storage,battery_clean,prompt_grade,grade,price,title,url,description
194412541,2024-12-02,416,60,판매완료,Normal,128.0,,S,S (Unopened),900000,아이폰15 128기가 블랙 미개봉 새상품,https://web.joongna.com/product/194412541,
195351068,2024-12-11,425,61,판매완료,Normal,,,B,Unknown,2540000,아이폰15맥스,https://web.joongna.com/product/195351068,
197243715,2024-12-31,445,64,판매완료,Pro,1024.0,,B,Unknown,1650000,아이폰 15promax 화이트티타늄 1TB 애케플O (내년까지),https://web.joongna.com/product/197243715,
197007725,2024-12-28,442,64,판매완료,Pro,1024.0,,B,Unknown,1700000,아이폰 15promax 화이트티타늄 1TB 애케플O (내년까지),https://web.joongna.com/product/197007725,
198067441,2025-01-09,454,65,판매완료,Plus,128.0,,A,A (Like New),750000,아이폰15플러스 블랙128GB A급 최상급,https://web.joongna.com/product/198067441,
201116954,2025-02-13,489,70,판매완료,Normal,128.0,,A,A (Like New),720000,아이폰15 128gb 최상급 판매,https://web.joongna.com/product/201116954,
203177614,2025-03-05,509,73,판매완료,Pro Max,1024.0,,B,Unknown,1600000,아이폰15프로맥스 1테라 네추럴티타늄 애케플ㅇ,https://web.joongna.com/product/203177614,
203027524,2025-03-03,507,73,판매완료,Normal,128.0,,B,Unknown,440000,(3849)아이폰15 128 판매,https://web.joongna.com/product/203027524,
202751521,2025-02-28,504,73,판매완료,Pro Max,1024.0,,B,Unknown,2000000,아이폰15 울트라 프로맥스 1테라,https://web.joongna.com/product/202751521,
202358802,2025-03-09,513,74,판매완료,Normal,128.0,,B,Unknown,450000,아이폰15 128 블루,https://web.joongna.com/product/202358802,
203513611,2025-03-08,512,74,판매완료,Pro Max,256.0,,B,Unknown,1490000,아이폰15프로맥스256 블랙티타늄 미개본 자급제 팔아요,https://web.joongna.com/product/203513611,
207164171,2025-04-15,550,79,판매완료,Pro,128.0,100.0,A,Unknown,600000,아이폰15프로 128 내츄럴티타늄 배터리 100,https://web.joongna.com/product/207164171,
209900500,2025-05-16,581,84,판매완료,Pro Max,512.0,,A,A (Like New),1150000,아이폰 15 프로맥스 512기가 내추럴티타늄 외관 최상급 판매합니다,https://web.joongna.com/product/209900500,
203813171,2025-05-26,591,85,판매완료,Pro Max,1024.0,,B,Unknown,1550000,아이폰 15 프로맥스 1TB 자급제,https://web.joongna.com/product/203813171,
211215331,2025-05-30,595,86,판매완료,Pro Max,,,B,Unknown,2000000,아이폰15 프로맥스,https://web.joongna.com/product/211215331,
212377756,2025-06-12,608,87,판매완료,Pro Max,1024.0,,B,Unknown,1350000,아이폰 15 프로맥스 1tb 네츄럴티타늄 (애케플 25.12.4),https://web.joongna.com/product/212377756,
212343692,2025-06-12,608,87,판매완료,Pro Max,1024.0,,B,Unknown,1500000,아이폰 15프로맥스 1테라 네추럴티타늄 팝니다,https://web.joongna.com/product/212343692,
211642556,2025-06-11,607,87,판매완료,Pro,512.0,,B,Unknown,1400000,아이폰15프로 512GB홍콩판 듀얼심 팝니다,https://web.joongna.com/product/211642556,
212249775,2025-06-11,607,87,판매완료,Pro Max,1024.0,,B,Unknown,1450000,아이폰15 프로맥스 1TB,https://web.joongna.com/product/212249775,
211976437,2025-06-10,606,87,판매완료,Pro Max,256.0,,B,Unknown,1200000,아이폰 15프로맥스 256 블랙 판매합니다,https://web.joongna.com/product/211976437,
212187440,2025-06-10,606,87,판매완료,Normal,128.0,,B,Unknown,550000,아이폰 15 블루 128GB,https://web.joongna.com/product/212187440,
212172236,2025-06-10,606,87,판매완료,Pro Max,1024.0,,B,Unknown,1500000,아이폰 15프로맥스 1테라 네추럴티타늄 팝니다,https://web.joongna.com/product/212172236,
211849392,2025-06-07,603,87,판매완료,Pro Max,1024.0,,B,Unknown,1350000,아이폰 프로맥스 15 1tb 블랙,https://web.joongna.com/product/211849392,
